Item,CCO Wikipedia link,CCO image link,CCO — Type,CCO — Start Date,CCO — End Date,Original?,Adaptation Type,Based on Real Life?
Napoleon,https://en.wikipedia.org/wiki/Napoleon_(2023_film),,Movie,2023,,0,,1
Life of Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,,Life,1769,1821,1,,1
Shazam! Fury of the Gods,https://en.wikipedia.org/wiki/Shazam!_Fury_of_the_Gods,,Movie,2023,,0,Sequel,0
Shazam! (2019),https://en.wikipedia.org/wiki/Shazam!_(film),,Movie,2019,,0,Adaptation,0
Shazam/Captain Marvel Comic Character,https://en.wikipedia.org/wiki/Captain_Marvel_(DC_Comics) ,,Comic,1939,,1,,0
Saw X,https://en.wikipedia.org/wiki/Saw_X,,Movie,2023,,0,Sequel,0
Saw (2004),https://en.wikipedia.org/wiki/Saw_(film),,Movie,2004,,1,,0
Saw II,https://en.wikipedia.org/wiki/Saw_II,,Movie,2005,,0,Sequel,0
Saw III,https://en.wikipedia.org/wiki/Saw_III,,Movie,2006,,0,Sequel,0
Saw IV,https://en.wikipedia.org/wiki/Saw_IV,,Movie,2007,,0,Sequel,0
Saw V,https://en.wikipedia.org/wiki/Saw_V,,Movie,2008,,0,Sequel,0
Saw VI,https://en.wikipedia.org/wiki/Saw_VI,,Movie,2009,,0,Sequel,0
Saw 3D,https://en.wikipedia.org/wiki/Saw_3D,,Movie,2010,,0,Sequel,0
Jigsaw,https://en.wikipedia.org/wiki/Jigsaw_(2017_film),,Movie,2017,,0,Sequel,0
Spiral,https://en.wikipedia.org/wiki/Spiral_(2021_film),,Movie,2021,,0,Sequel,0
AIR,https://en.wikipedia.org/wiki/Air_(2023_film),,Movie,2023,,0,,1
Based on the origins of Air Jordan Brand,https://en.wikipedia.org/wiki/Air_Jordan,,Life,,,0,,1
Jesus Revolution,https://en.wikipedia.org/wiki/Jesus_Revolution,,Movie,2023,,0,Adaptation,1
Jesus Revolution (2018) Book,https://en.wikipedia.org/wiki/Jesus_Revolution,,Book,2018,,0,,1
Life of Greg Laurie,https://en.wikipedia.org/wiki/Greg_Laurie,,Life,1952,Present,1,,1
TAYLOR SWIFT | THE ERAS TOUR,https://en.wikipedia.org/wiki/Taylor_Swift:_The_Eras_Tour,,Movie,2023,,1,,1
Elemental,https://en.wikipedia.org/wiki/Elemental_(2023_film),,Movie,2023,,1,,0
M3GAN,https://en.wikipedia.org/wiki/M3GAN,,Movie,2023,,1,,0
Wish,https://en.wikipedia.org/wiki/Wish_(film),,Movie,2023,,1,,0
Migration,https://en.wikipedia.org/wiki/Migration_(2023_film),,Movie,2023,,1,,0
No Hard Feelings,https://en.wikipedia.org/wiki/No_Hard_Feelings_(2023_film),,Movie,2023,,1,,0
Talk To Me,https://en.wikipedia.org/wiki/Talk_to_Me_(2022_film),,Movie,2023,,1,,0
