,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
588,39,Dark Shadows,105808608.9122451,3755.0,29685274.0,0.37200000000000005,3755.0,May 11,Aug 16,Warner Bros.,2012,62213.0,199070097.65063548,325847423.5154141,2012-05-11,126777325.86477864
589,40,Parental Guidance,102544054.39947037,3368.0,14554053.0,0.188,3367.0,Dec 25,May 23,Twentieth Century Fox,2012,88042.0,33178349.608439244,158953799.46716377,2012-12-25,125775449.85872453
590,41,John Carter,96984430.02081937,3749.0,30180188.0,0.413,3749.0,Mar 9,Jun 28,Walt Disney Studios Motion Pictures,2012,49529.0,331783496.0843924,377038764.9503036,2012-03-09,45255268.865911186
591,42,Act of Valor,92916428.59392668,3053.0,24476632.0,0.35,3039.0,Feb 24,Jun 7,Relativity Media,2012,75674.0,15925607.812050838,109487756.10032493,2012-02-24,93562148.2882741
592,43,This Is 40,89640608.0407589,2931.0,11579175.0,0.171,2912.0,Dec 21,Feb 28,Universal Pictures,2012,89492.0,46449689.45181494,117053217.41857366,2012-12-21,70603527.96675873
593,44,Contraband,88291569.71000984,2870.0,24349815.0,0.366,2863.0,Jan 13,Mar 15,Universal Pictures,2012,77866.0,33178349.608439244,127752852.95270783,2012-01-13,94574503.34426859
594,45,Looper,88236102.14513445,2993.0,20801552.0,0.313,2992.0,Sep 28,Jan 1,TriStar Pictures,2012,59967.0,39814019.53012709,62431036.89120796,2012-09-28,22617017.36108087
595,46,Madea's Witness Protection,87130648.64013867,2161.0,25390575.0,0.387,2161.0,Jun 29,Sep 20,Lionsgate Films,2012,103370.0,26542679.686751395,88784257.58462329,2012-06-29,62241577.8978719
596,47,Battleship,86824588.98207271,3702.0,25534825.0,0.39,3690.0,May 18,Aug 2,Universal Pictures,2012,44833.0,277371002.72655207,402155419.26387453,2012-05-18,124784416.53732246
597,48,Pitch Perfect,86265159.53938691,2787.0,5149433.0,0.079,335.0,Sep 28,Feb 14,Universal Pictures,2012,114150.0,22561277.733738687,153479629.2457643,2012-09-28,130918351.5120256
598,49,Mirror Mirror,86177666.90433548,3618.0,18132085.0,0.27899999999999997,3603.0,Mar 30,Aug 16,Relativity Media,2012,62764.0,112806388.66869344,242890100.3094332,2012-03-30,130083711.64073975
599,50,Chronicle,85699909.28704582,2908.0,22004098.0,0.341,2907.0,Feb 3,Jun 7,Twentieth Century Fox,2012,76726.0,19907009.765063547,192434427.72894764,2012-02-03,172527417.9638841
600,1,Harry Potter and the Deathly Hallows: Part 2,516117171.5520119,4375.0,169189427.0,0.444,4375.0,Jul 15,Nov 24,Warner Bros.,2011,12445.0,169324794.72212467,1817208894.1968176,2011-07-15,1647884099.474693
601,2,Transformers: Dark of the Moon,477347650.8439444,4088.0,97852865.0,0.278,4088.0,Jun 29,Oct 13,DreamWorks,2011,38356.0,264146679.76651448,1522297634.4697897,2011-06-29,1258150954.7032752
602,3,The Twilight Saga: Breaking Dawn - Part 1,381031088.4255998,4066.0,138122261.0,0.491,4061.0,Nov 18,Feb 23,Summit Entertainment,2011,50619.0,149005819.3554697,964706826.5925962,2011-11-18,815701007.2371265
603,4,The Hangover Part II,344696929.665865,3675.0,85946294.0,0.33799999999999997,3615.0,May 26,Sep 15,Warner Bros.,2011,45243.0,108367868.6221598,794829963.9551611,2011-05-26,686462095.3330013
604,5,Pirates of the Caribbean: On Stranger Tides,326555467.0955415,4164.0,90151958.0,0.374,4155.0,May 20,Sep 29,Walt Disney Studios Motion Pictures,2011,1865.0,513392777.597482,1416503502.727406,2011-05-20,903110725.129924
605,6,Fast Five,284245769.95474327,3793.0,86198765.0,0.41100000000000003,3644.0,Apr 29,Aug 11,Universal Pictures,2011,51497.0,169324794.72212467,848114031.804178,2011-04-29,678789237.0820533
606,7,Mission: Impossible - Ghost Protocol,283650055.525747,3555.0,12785204.0,0.061,425.0,Dec 16,Apr 12,Paramount Pictures,2011,56292.0,196416761.87766463,941039479.14768,2011-12-16,744622717.2700155
607,8,Cars 2,259341101.21407136,4115.0,66135507.0,0.345,4115.0,Jun 24,Dec 15,Walt Disney Studios Motion Pictures,2011,49013.0,270919671.5553995,758375136.2191173,2011-06-24,487455464.6637178
608,9,Sherlock Holmes: A Game of Shadows,253104560.17602995,3703.0,39637079.0,0.212,3703.0,Dec 16,Apr 5,Warner Bros.,2011,58574.0,169324794.72212467,453268929.48754996,2011-12-16,283944134.7654253
609,10,Thor,245223785.97774506,3963.0,65723338.0,0.363,3955.0,May 6,Aug 25,Paramount Pictures,2011,10195.0,203189753.6665496,608657098.8482922,2011-05-06,405467345.18174267
610,11,Rise of the Planet of the Apes,239439056.32135826,3691.0,54806191.0,0.31,3648.0,Aug 5,Dec 15,Twentieth Century Fox,2011,61791.0,125977647.27326076,652646671.3413237,2011-08-05,526669024.06806296
611,12,Captain America: The First Avenger,239295902.36690837,3715.0,65058524.0,0.368,3715.0,Jul 22,Nov 10,Paramount Pictures,2011,1771.0,189643770.08877963,501973207.30219305,2011-07-22,312329437.2134134
612,13,The Help,229886329.81663474,3014.0,26044590.0,0.153,2534.0,Aug 10,Mar 8,Walt Disney Studios Motion Pictures,2011,50014.0,33864958.944424935,293406004.2944976,2011-08-10,259541045.35007268
613,14,Bridesmaids,229071691.9740463,2958.0,26247410.0,0.155,2918.0,May 13,Sep 29,Universal Pictures,2011,55721.0,44024446.627752416,390643846.6657449,2011-05-13,346619400.0379925
614,15,Kung Fu Panda 2,223846109.36398757,3952.0,47656302.0,0.28800000000000003,3925.0,May 26,Sep 29,DreamWorks,2011,49444.0,203189753.6665496,901745670.6274234,2011-05-26,698555916.9608738
615,16,Puss in Boots,202188033.59936693,3963.0,34077439.0,0.228,3952.0,Oct 28,Mar 1,DreamWorks,2011,417859.0,176097786.51100966,751785124.9309992,2011-10-28,575687338.4199895
616,17,X-Men: First Class,198324449.51791376,3692.0,55101604.0,0.376,3641.0,Jun 3,Sep 29,Twentieth Century Fox,2011,49538.0,216735737.2443196,479018657.6407293,2011-06-03,262282920.39640972
617,18,Rio,194547157.41564602,3842.0,39225962.0,0.273,3826.0,Apr 15,Sep 8,Twentieth Century Fox,2011,46195.0,121913852.19992976,656438364.1787329,2011-04-15,534524511.9788031
618,19,The Smurfs,193184904.22254923,3427.0,35611637.0,0.25,3395.0,Jul 29,Dec 15,Sony Pictures Releasing,2011,41513.0,149005819.3554697,763653907.133694,2011-07-29,614648087.7782243
619,20,Alvin and the Chipmunks: Chipwrecked,180311592.5156776,3734.0,23244744.0,0.175,3723.0,Dec 16,Jun 7,Twentieth Century Fox,2011,55301.0,101594876.8332748,464214673.4686737,2011-12-16,362619796.6353989
620,21,Super 8,172039652.3042158,3424.0,35451168.0,0.27899999999999997,3379.0,Jun 10,Sep 29,Paramount Pictures,2011,37686.0,67729917.88884987,352331032.857797,2011-06-10,284601114.9689472
621,22,Rango,167262563.66443348,3923.0,38079323.0,0.308,3917.0,Mar 4,Jul 7,Paramount Pictures,2011,44896.0,182870778.29989463,332824816.50580823,2011-03-04,149954038.2059136
622,23,Horrible Bosses,159217538.99687472,3134.0,28302165.0,0.24100000000000002,3040.0,Jul 8,Oct 27,Warner Bros.,2011,51540.0,47410942.52219491,284194735.4616141,2011-07-08,236783792.93941915
623,24,Green Lantern,157947756.10607323,3816.0,53174303.0,0.456,3816.0,Jun 17,Sep 29,Warner Bros.,2011,44912.0,270919671.5553995,297810036.5465482,2011-06-17,26890364.99114871
624,25,Hop,146412176.6528259,3616.0,37543710.0,0.34700000000000003,3579.0,Apr 1,Jun 16,Universal Pictures,2011,50359.0,85339696.53995083,249183411.08276466,2011-04-01,163843714.54281384
625,26,Paranormal Activity 3,140917251.1237002,3329.0,52568183.0,0.505,3321.0,Oct 21,Jan 5,Paramount Pictures,2011,72571.0,6772991.788884987,280455832.67680573,2011-10-21,273682840.88792074
626,27,Just Go with It,139561707.25626948,3548.0,30514732.0,0.29600000000000004,3548.0,Feb 11,May 19,Sony Pictures Releasing,2011,50546.0,108367868.6221598,291164944.5800061,2011-02-11,182797075.95784634
627,28,The Girl with the Dragon Tattoo,138867724.8440066,2950.0,12768604.0,0.125,2914.0,Dec 21,Mar 22,Sony Pictures Releasing,2011,65754.0,121913852.19992976,315103188.66830564,2011-12-21,193189336.46837586
628,29,Bad Teacher,135856538.03436488,3049.0,31603106.0,0.315,3049.0,Jun 24,Oct 13,Sony Pictures Releasing,2011,52449.0,27091967.15553995,292864164.9513868,2011-06-24,265772197.79584685
629,30,Cowboys & Aliens,135785685.76726136,3754.0,36431290.0,0.363,3750.0,Jul 29,Nov 3,Universal Pictures,2011,49849.0,220799532.31765056,236814034.3477565,2011-07-29,16014502.030105948
630,31,Gnomeo & Juliet,135416041.61279282,3037.0,25356909.0,0.254,2994.0,Feb 11,Jun 23,Walt Disney Studios Motion Pictures,2011,45772.0,48765540.87997191,256984148.83708027,2011-02-11,208218607.95710838
631,32,The Green Hornet,133807282.67434283,3584.0,33526876.0,0.33899999999999997,3584.0,Jan 14,Apr 21,Sony Pictures Releasing,2011,40805.0,162551802.93323967,308600870.0140749,2011-01-14,146049067.08083525
633,34,The Muppets,120059728.08794385,3440.0,29239026.0,0.33,3440.0,Nov 23,Apr 5,Walt Disney Studios Motion Pictures,2011,64328.0,60956926.09996488,223758296.1708463,2011-11-23,162801370.07088143
634,35,Real Steel,115775500.57845017,3440.0,27319677.0,0.32,3440.0,Oct 7,Feb 16,Walt Disney Studios Motion Pictures,2011,39254.0,149005819.3554697,405431288.4826553,2011-10-07,256425469.12718558
635,36,"Crazy, Stupid, Love.",114261992.93272398,3020.0,19104303.0,0.226,3020.0,Jul 29,Nov 24,Warner Bros.,2011,50646.0,67729917.88884987,196524566.23336995,2011-07-29,128794648.34452008
636,37,Battle Los Angeles,113179983.11167918,3417.0,35573187.0,0.426,3417.0,Mar 11,Jun 2,Sony Pictures Releasing,2011,44943.0,94821885.04438981,286903932.177168,2011-03-11,192082047.1327782
637,38,Immortals,113114404.29598247,3120.0,32206425.0,0.386,3112.0,Nov 11,Feb 23,Relativity Media,2011,37958.0,101594876.8332748,307363808.8012039,2011-11-11,205768931.96792912
638,39,The Descendants,111868367.5143928,2038.0,1190096.0,0.013999999999999999,29.0,Nov 16,Apr 19,-,2011,65057.0,27091967.15553995,240034828.99808392,2011-11-16,212942861.84254396
